years_experience,education_level,job_category,company_size,salary,num_employees
19,Bachelor,Data Analyst,Medium,56976,752
2,MBA,Business Analyst,Large,59597,6041
12,PhD,QA Engineer,Medium,63358,649
6,Master,Business Analyst,Large,50452,8977
4,PhD,Business Analyst,Large,51209,8444
11,PhD,QA Engineer,Large,57258,5469
17,PhD,Business Analyst,Large,69230,5794
6,Bachelor,QA Engineer,Small,46640,187
5,MBA,Data Analyst,Medium,57169,949
20,PhD,QA Engineer,Medium,76324,899
2,MBA,Data Analyst,Medium,59291,1804
6,Bachelor,Data Analyst,Medium,42519,1772
11,Master,QA Engineer,Large,53913,5820
16,Master,Business Analyst,Small,54480,294
16,PhD,Project Manager,Medium,68224,842
1,Bachelor,Data Scientist,Medium,36155,1793
9,Master,Project Manager,Medium,53122,1307
6,Bachelor,QA Engineer,Large,42460,8918
16,Bachelor,Business Analyst,Medium,52629,1788
3,PhD,Data Analyst,Medium,45996,539
20,PhD,Software Developer,Small,63354,332
4,Bachelor,Data Scientist,Large,38952,9170
19,Bachelor,Project Manager,Small,46326,290
3,PhD,Business Analyst,Medium,44445,1874
19,Bachelor,Data Scientist,Large,63071,5968
20,PhD,Software Developer,Medium,67555,1893
7,MBA,Software Developer,Medium,67670,877
20,Bachelor,Software Developer,Large,62783,7555
9,PhD,Project Manager,Small,54911,459
1,Bachelor,QA Engineer,Large,41964,9740
8,PhD,Data Scientist,Large,64334,3430
7,Bachelor,QA Engineer,Small,37055,195
18,Master,Software Developer,Large,67046,6492
8,Master,Business Analyst,Small,47382,498
1,Bachelor,Software Developer,Small,29409,499
11,Master,QA Engineer,Large,55411,8716
18,Bachelor,Software Developer,Large,60350,7627
10,Bachelor,Software Developer,Small,47695,337
3,MBA,QA Engineer,Small,68644,278
7,MBA,QA Engineer,Small,68126,400
16,Master,Business Analyst,Small,59882,155
16,MBA,QA Engineer,Small,76041,126
20,MBA,Business Analyst,Large,95145,6523
17,Bachelor,Data Analyst,Medium,58770,1056
2,PhD,Data Analyst,Large,57390,9177
1,Bachelor,QA Engineer,Medium,41997,1524
16,MBA,Software Developer,Small,69458,289
12,Bachelor,Data Scientist,Large,45121,2738
5,Master,Software Developer,Medium,46857,1480
5,PhD,QA Engineer,Small,53464,108
9,MBA,Business Analyst,Large,68299,5998
9,MBA,Software Developer,Medium,73058,912
3,Bachelor,Data Analyst,Large,43734,5488
19,Bachelor,Project Manager,Medium,51429,700
16,Bachelor,QA Engineer,Large,51956,9063
16,Bachelor,Software Developer,Large,63406,6876
3,MBA,Project Manager,Medium,62712,1197
20,Bachelor,Software Developer,Large,52170,6833
1,MBA,Business Analyst,Large,56286,9412
20,Bachelor,Business Analyst,Small,50511,368
11,PhD,Business Analyst,Medium,66586,1542
17,PhD,Project Manager,Large,71072,6114
8,Bachelor,Data Scientist,Medium,44634,982
4,Bachelor,Project Manager,Large,40442,6819
6,Master,QA Engineer,Medium,50961,1131
8,PhD,QA Engineer,Medium,63826,1729
20,MBA,Data Analyst,Small,82184,398
3,PhD,Data Analyst,Small,55224,236
16,MBA,QA Engineer,Medium,77185,703
3,Bachelor,Software Developer,Large,46492,9229
18,PhD,QA Engineer,Medium,78677,1135
14,PhD,Data Scientist,Large,61505,6802
18,Master,Data Analyst,Medium,61641,937
2,Master,Data Analyst,Small,43674,436
3,PhD,Project Manager,Small,48152,302
16,PhD,Data Analyst,Large,65402,7714
9,PhD,QA Engineer,Medium,58434,556
4,MBA,Data Analyst,Large,60900,7038
1,Bachelor,Data Analyst,Small,35114,373
4,Master,Project Manager,Medium,43134,1706
1,Bachelor,QA Engineer,Small,37483,449
14,Master,Software Developer,Small,53768,368
16,Master,Data Analyst,Medium,62032,1978
20,Master,Data Analyst,Large,58820,3566
8,PhD,Data Analyst,Medium,57501,1784
7,Master,Data Scientist,Small,57720,315
3,Bachelor,QA Engineer,Small,38377,63
17,Master,Data Analyst,Small,65847,294
1,Bachelor,Data Scientist,Small,31566,228
16,Master,Software Developer,Large,58112,3426
12,Master,Software Developer,Medium,58689,1238
19,PhD,Project Manager,Medium,58215,1484
14,Bachelor,Project Manager,Large,55889,4089
6,Master,Project Manager,Large,47807,9386
6,Master,Data Scientist,Small,46484,150
13,Bachelor,Software Developer,Medium,58857,593
19,Master,Project Manager,Medium,56489,1437
8,MBA,Business Analyst,Medium,67552,601
2,PhD,Project Manager,Large,54562,6362
1,Bachelor,Software Developer,Small,33577,132
15,PhD,Business Analyst,Small,55751,476
1,MBA,Data Scientist,Medium,58693,1679
5,MBA,Business Analyst,Small,66158,162
16,MBA,Software Developer,Large,82605,4286
19,Bachelor,Data Analyst,Large,50657,9463
4,MBA,Business Analyst,Medium,59445,672
3,Bachelor,Software Developer,Small,50630,143
17,Bachelor,Project Manager,Large,57682,5914
17,Master,Data Analyst,Large,62898,5536
12,Bachelor,Data Scientist,Large,53321,5937
14,MBA,Data Scientist,Large,72956,2369
6,Bachelor,QA Engineer,Small,41784,280
3,Bachelor,Data Scientist,Large,38602,2712
9,PhD,QA Engineer,Large,66031,4470
5,MBA,Data Scientist,Small,65784,367
17,Bachelor,Data Scientist,Medium,58251,1106
14,Master,Data Scientist,Medium,48319,963
3,Bachelor,QA Engineer,Large,36978,5561
1,Bachelor,Project Manager,Medium,47782,715
20,PhD,QA Engineer,Small,68040,425
1,MBA,Business Analyst,Large,57585,3366
3,MBA,Software Developer,Small,59109,149
18,Master,Software Developer,Medium,55363,713
10,Master,Project Manager,Medium,48272,685
3,Master,Software Developer,Large,36644,9047
8,Bachelor,Data Scientist,Medium,37130,1280
14,Bachelor,Project Manager,Large,55203,5916
18,Master,Software Developer,Large,58764,4721
15,MBA,QA Engineer,Small,83354,289
2,MBA,Business Analyst,Medium,62468,1788
10,Master,Data Analyst,Medium,52782,1851
2,PhD,Business Analyst,Large,54342,2937
17,MBA,Software Developer,Large,65368,8906
8,MBA,Project Manager,Large,65061,6816
1,Master,Software Developer,Large,47525,6783
9,MBA,QA Engineer,Small,60183,367
11,Bachelor,Business Analyst,Medium,52683,970
16,Bachelor,QA Engineer,Small,56480,209
7,MBA,QA Engineer,Medium,56543,548
10,Bachelor,Data Analyst,Small,55903,140
3,PhD,QA Engineer,Large,57342,7739
18,MBA,QA Engineer,Small,80722,328
13,Master,Data Analyst,Small,49809,83
7,Bachelor,Data Scientist,Large,40116,9269
4,PhD,Data Scientist,Large,52207,3934
13,PhD,Project Manager,Medium,70787,1661
20,Bachelor,Data Analyst,Medium,58852,1628
1,PhD,Project Manager,Small,50120,252
8,MBA,Project Manager,Small,61954,452
14,PhD,QA Engineer,Small,73568,328
16,Bachelor,Project Manager,Large,50082,3310
14,PhD,Software Developer,Medium,65646,1131
12,Bachelor,Business Analyst,Small,56931,349
19,Bachelor,Software Developer,Medium,56008,528
15,PhD,Software Developer,Medium,64664,1828
2,Bachelor,QA Engineer,Large,33921,6142
2,Bachelor,Business Analyst,Large,31408,6143
19,Master,Project Manager,Small,57534,484
17,MBA,Business Analyst,Small,84329,155
20,Bachelor,Project Manager,Small,52030,217
10,MBA,Data Scientist,Small,64299,233
6,Master,Data Analyst,Small,41452,424
15,Master,QA Engineer,Medium,55045,678
11,Master,Project Manager,Medium,52760,1339
5,Master,Project Manager,Large,47792,6482
1,MBA,Business Analyst,Large,64320,3324
8,PhD,QA Engineer,Medium,62257,1508
12,PhD,Project Manager,Large,65950,7297
12,MBA,Data Scientist,Large,74161,9458
5,Bachelor,Software Developer,Small,33383,249
7,MBA,Project Manager,Large,64704,4083
4,Bachelor,Business Analyst,Large,47355,2409
6,Bachelor,Data Scientist,Large,52738,9897
13,PhD,QA Engineer,Medium,69709,1317
20,Master,Project Manager,Medium,62476,1978
15,PhD,Data Scientist,Small,69597,442
3,PhD,Data Scientist,Large,47372,4174
8,MBA,Data Scientist,Medium,72568,1372
20,MBA,Data Scientist,Small,75398,425
16,Bachelor,Data Scientist,Large,50075,6659
13,MBA,Data Scientist,Small,77327,63
18,Bachelor,Data Analyst,Small,57666,288
10,Bachelor,QA Engineer,Large,51752,3303
19,Master,Software Developer,Medium,67991,1740
17,Master,QA Engineer,Large,55558,5333
19,PhD,Business Analyst,Large,71166,5910
5,Master,Business Analyst,Large,43091,7427
9,Bachelor,QA Engineer,Medium,36976,1532
12,MBA,Data Scientist,Large,69902,6123
1,Master,Data Analyst,Medium,38776,1054
1,Master,Software Developer,Small,45199,289
15,Master,Project Manager,Medium,64667,1177
2,Master,Project Manager,Small,39733,363
16,Bachelor,Data Scientist,Small,49592,295
8,Bachelor,QA Engineer,Large,45250,4092
13,PhD,Project Manager,Medium,65118,1870
1,MBA,QA Engineer,Small,59792,112
16,PhD,Data Analyst,Small,77381,281
7,PhD,Data Analyst,Medium,62243,1199
5,Master,QA Engineer,Medium,46934,1341
3,MBA,Data Scientist,Small,71340,339
12,Master,Data Scientist,Small,59720,498
16,Bachelor,Data Scientist,Medium,60110,739
19,PhD,Project Manager,Medium,80819,1421
5,MBA,Software Developer,Small,64274,209
14,Bachelor,Software Developer,Large,53746,4637
5,PhD,Data Scientist,Medium,55655,1265
15,MBA,QA Engineer,Small,73833,185
17,PhD,Data Analyst,Small,65899,72
14,MBA,Business Analyst,Large,66851,3574
20,PhD,Data Analyst,Medium,77652,974
5,Master,Data Analyst,Small,52916,465
12,PhD,Business Analyst,Large,59838,5540
16,PhD,Data Scientist,Medium,67469,1609
16,MBA,Data Analyst,Large,72130,2650
7,MBA,Business Analyst,Small,67204,343
4,Master,Project Manager,Large,48671,3739
1,MBA,QA Engineer,Small,55495,429
5,PhD,QA Engineer,Small,52742,284
10,MBA,QA Engineer,Large,66927,7368
5,MBA,Data Scientist,Large,59081,7809
4,MBA,Data Analyst,Small,62648,276
2,Master,Data Analyst,Large,32696,9675
20,Master,Software Developer,Medium,65365,683
10,Bachelor,QA Engineer,Medium,56727,1252
19,Master,Data Scientist,Large,67187,8305
1,Master,Business Analyst,Large,37417,2802
5,Master,Data Scientist,Medium,42382,1927
13,PhD,Data Analyst,Small,60987,415
4,Bachelor,QA Engineer,Small,37582,71
16,PhD,Software Developer,Medium,70637,717
16,Master,Project Manager,Small,56296,406
2,Master,Data Scientist,Large,46713,6723
17,Bachelor,Software Developer,Large,55658,5526
20,Bachelor,Data Analyst,Medium,61590,1816
12,MBA,Business Analyst,Medium,73700,919
18,Master,Data Scientist,Medium,65014,704
3,Master,Project Manager,Medium,52967,1214
1,PhD,Data Analyst,Small,56053,460
1,MBA,QA Engineer,Small,53301,262
19,Master,Data Scientist,Small,74720,494
11,PhD,Software Developer,Large,62110,8388
5,Bachelor,Data Scientist,Large,44060,6886
12,PhD,Data Analyst,Medium,67167,875
3,Master,Data Analyst,Medium,39802,1320
1,PhD,Software Developer,Small,57976,229
1,PhD,Project Manager,Small,50900,206
8,MBA,Data Analyst,Small,72719,190
10,MBA,Data Scientist,Medium,67864,694
11,Bachelor,Project Manager,Small,45118,422
12,MBA,Software Developer,Medium,73918,863
13,PhD,Data Analyst,Medium,59251,1046
12,MBA,Data Analyst,Large,68712,2128
14,Master,Data Scientist,Large,45472,3939
2,PhD,Data Analyst,Medium,57880,884
19,PhD,Data Scientist,Small,68851,278
18,PhD,QA Engineer,Medium,68671,1460
3,Master,Project Manager,Medium,45417,1492
17,PhD,Data Scientist,Medium,71745,525
8,MBA,Business Analyst,Medium,59848,1123
10,Master,Data Analyst,Large,46389,8815
2,PhD,QA Engineer,Large,56540,6193
19,MBA,Project Manager,Medium,76739,1974
9,MBA,Software Developer,Large,69063,4741
7,Bachelor,Business Analyst,Large,42562,3137
4,MBA,Software Developer,Small,64617,470
18,MBA,Business Analyst,Large,75660,5987
13,Bachelor,QA Engineer,Large,53162,5405
11,Bachelor,Project Manager,Medium,52343,1867
4,Master,QA Engineer,Large,47215,6804
4,MBA,QA Engineer,Large,63060,4263
10,Master,Business Analyst,Large,52880,9572
5,Master,Data Scientist,Medium,40086,1110
9,PhD,Project Manager,Medium,51026,688
3,Master,Software Developer,Large,38635,5915
17,Master,Data Scientist,Medium,57890,859
3,Master,Data Scientist,Medium,49363,1902
16,Master,Data Analyst,Small,50015,219
4,Bachelor,Software Developer,Large,43149,4881
18,MBA,Business Analyst,Small,74404,478
17,PhD,Data Analyst,Large,70834,3406
7,Bachelor,Data Analyst,Large,52217,4505
5,PhD,QA Engineer,Small,54970,175
12,PhD,Business Analyst,Small,66943,91
17,Bachelor,Data Scientist,Large,53044,4188
13,Master,Project Manager,Small,53646,153
3,Bachelor,Data Scientist,Small,45318,467
9,PhD,Data Scientist,Medium,69315,672
17,PhD,QA Engineer,Large,72465,4782
17,Master,Data Scientist,Medium,52356,1091
20,Bachelor,Software Developer,Large,54626,7677
16,MBA,Data Scientist,Medium,73367,1250
13,PhD,Data Scientist,Large,65765,9063
19,Bachelor,Software Developer,Medium,55801,1117
17,Master,QA Engineer,Large,64385,3399
4,Master,Data Analyst,Medium,40459,1892
12,MBA,Business Analyst,Small,75433,211
9,PhD,QA Engineer,Large,59655,5993
19,MBA,Data Scientist,Small,82266,423
12,MBA,Data Analyst,Medium,61146,598
9,MBA,Business Analyst,Large,68314,9200
7,MBA,Business Analyst,Medium,60645,1601
14,Master,Business Analyst,Medium,57875,1428
20,PhD,Software Developer,Small,69799,292
19,MBA,Software Developer,Large,74970,3576
15,PhD,Data Analyst,Medium,65769,1709
16,Master,Data Scientist,Small,63424,123
5,Master,Data Analyst,Small,53928,204
3,Bachelor,Data Scientist,Small,37069,129
12,Bachelor,QA Engineer,Small,55721,411
20,PhD,Business Analyst,Medium,78286,892
4,Bachelor,Business Analyst,Medium,35880,621
16,MBA,Software Developer,Medium,76605,1213
7,PhD,QA Engineer,Large,60542,7847
13,Master,Project Manager,Large,55470,3536
10,Master,QA Engineer,Small,52607,219
7,MBA,Data Scientist,Medium,67082,690
14,Bachelor,QA Engineer,Small,52799,331
5,PhD,Software Developer,Medium,53540,936
3,PhD,Data Scientist,Large,48338,5336
11,MBA,Data Analyst,Small,66347,357
11,Bachelor,Data Scientist,Medium,45960,653
18,PhD,Data Analyst,Medium,67744,1421
15,MBA,Project Manager,Medium,73640,1411
12,PhD,Data Scientist,Small,59441,204
9,Master,Business Analyst,Large,47357,7086
10,PhD,Project Manager,Medium,55673,794
12,PhD,Data Analyst,Small,62308,484
17,PhD,Software Developer,Medium,60750,1553
6,Bachelor,Project Manager,Small,47436,245
7,Bachelor,Project Manager,Large,50697,8330
14,MBA,Project Manager,Medium,79175,1626
13,Bachelor,Data Analyst,Small,49916,366
8,PhD,Data Analyst,Medium,54923,564
10,PhD,Data Scientist,Small,57064,467
9,Bachelor,Business Analyst,Large,41876,3144
18,Bachelor,Project Manager,Large,61092,6183
2,PhD,Data Scientist,Small,40772,154
5,PhD,Data Scientist,Large,51359,9082
5,Master,Business Analyst,Medium,44095,874
6,MBA,Data Scientist,Large,60953,7657
19,Bachelor,Business Analyst,Medium,55917,730
8,MBA,Software Developer,Large,66327,8694
16,PhD,Business Analyst,Large,70276,2821
13,MBA,QA Engineer,Medium,73178,1141
1,Bachelor,Business Analyst,Large,32285,3396
20,Bachelor,Business Analyst,Medium,51135,522
17,MBA,QA Engineer,Medium,85054,789
7,Bachelor,Business Analyst,Large,49115,6245
13,Master,Data Analyst,Large,66031,9520
4,PhD,Data Scientist,Medium,55020,1844
4,PhD,Data Scientist,Small,59857,52
6,Bachelor,Software Developer,Large,34261,5551
19,PhD,Software Developer,Large,64123,3760
12,Master,QA Engineer,Small,52246,202
7,Bachelor,Data Analyst,Small,45051,202
10,Master,Software Developer,Large,49587,6040
19,Master,Data Scientist,Large,68887,8030
7,PhD,Software Developer,Large,61065,6565
3,PhD,Software Developer,Small,56423,407
13,MBA,Business Analyst,Large,74998,8607
13,Master,Software Developer,Small,58142,242
18,PhD,QA Engineer,Small,77807,305
20,Master,Data Scientist,Medium,73922,541
8,MBA,QA Engineer,Small,64390,427
9,Master,QA Engineer,Medium,47435,1693
7,Bachelor,Project Manager,Small,50456,282
1,MBA,Data Analyst,Small,66591,342
3,MBA,Project Manager,Medium,72094,1946
13,Master,Project Manager,Medium,59770,1491
17,Master,Business Analyst,Medium,60519,701
1,PhD,QA Engineer,Medium,43522,1033
6,Bachelor,Data Analyst,Medium,42828,1995
6,MBA,Data Scientist,Medium,58640,1558
12,MBA,Data Scientist,Medium,64989,1234
13,MBA,Data Analyst,Small,76413,427
13,PhD,QA Engineer,Small,61226,318
15,Bachelor,QA Engineer,Medium,53883,543
16,MBA,Business Analyst,Large,83155,5426
11,MBA,Business Analyst,Medium,58761,1315
5,PhD,Project Manager,Large,49235,6440
4,Master,Data Scientist,Small,49823,131
3,MBA,Business Analyst,Small,57147,192
19,Bachelor,Data Analyst,Large,56184,3634
20,Bachelor,Data Scientist,Small,61634,183
18,Bachelor,QA Engineer,Medium,56789,1480
15,Bachelor,Data Scientist,Large,44127,9704
9,PhD,Software Developer,Large,55697,3645
17,MBA,Data Scientist,Small,68860,344
14,PhD,Business Analyst,Large,69125,2612
15,Bachelor,Data Analyst,Large,47067,3392
1,Bachelor,QA Engineer,Large,30251,9290
3,Bachelor,QA Engineer,Small,33301,190
16,PhD,Business Analyst,Large,71410,7556
11,Bachelor,Business Analyst,Large,46011,7385
12,MBA,Business Analyst,Medium,77053,686
10,Bachelor,Software Developer,Medium,52394,1614
16,MBA,Data Analyst,Large,80770,3743
8,MBA,Software Developer,Small,63859,125
6,Bachelor,Business Analyst,Large,37053,2401
12,PhD,Data Analyst,Small,60811,427
8,Master,Business Analyst,Medium,36080,626
4,Master,Data Analyst,Medium,48610,1272
8,MBA,QA Engineer,Large,66930,6204
18,PhD,Software Developer,Small,66263,123
5,Master,Project Manager,Small,44435,172
9,Bachelor,Business Analyst,Small,52363,203
4,Bachelor,Business Analyst,Large,43245,5889
17,MBA,Data Scientist,Small,83783,460
9,PhD,Project Manager,Medium,54426,927
1,PhD,QA Engineer,Small,42837,71
20,Master,Business Analyst,Small,66820,146
13,Master,Software Developer,Large,60571,5612
16,Bachelor,QA Engineer,Large,56703,3936
13,MBA,Business Analyst,Large,69432,9481
14,PhD,Software Developer,Large,79530,4046
3,Master,Data Scientist,Large,54843,8915
6,Master,Data Scientist,Small,44490,156
18,MBA,Software Developer,Small,74591,129
19,MBA,QA Engineer,Large,74997,6163
5,Bachelor,Software Developer,Large,48975,8068
15,MBA,Project Manager,Small,78540,242
2,Bachelor,Software Developer,Large,42112,4126
10,Bachelor,Data Scientist,Medium,47210,1635
18,MBA,Data Scientist,Small,81991,92
13,MBA,Data Scientist,Medium,73423,718
5,MBA,Project Manager,Small,61123,282
1,MBA,Business Analyst,Small,59106,287
1,MBA,Project Manager,Small,65187,220
18,Bachelor,Business Analyst,Small,61586,114
15,Master,Project Manager,Small,54124,316
17,PhD,Data Analyst,Small,64153,175
11,PhD,Business Analyst,Small,64995,282
17,Bachelor,QA Engineer,Large,53075,2766
13,Bachelor,QA Engineer,Large,53422,4691
1,Master,Data Scientist,Large,39172,7132
2,MBA,Project Manager,Medium,62494,1513
9,Bachelor,Software Developer,Small,41545,391
3,PhD,Data Scientist,Large,53140,6273
1,MBA,Software Developer,Large,54989,9220
16,Bachelor,Project Manager,Large,54930,8199
6,MBA,Data Scientist,Small,63823,142
17,PhD,Data Scientist,Small,74045,83
5,MBA,QA Engineer,Medium,61594,769
5,Bachelor,Software Developer,Medium,46921,1388
6,Bachelor,Data Analyst,Small,38759,116
3,PhD,Data Analyst,Medium,43377,1859
5,Master,Data Scientist,Large,49313,5909
5,Master,Project Manager,Medium,45463,969
10,MBA,Data Scientist,Large,62763,5396
10,Bachelor,QA Engineer,Medium,42848,569
19,Bachelor,Software Developer,Large,54329,8198
17,PhD,Data Scientist,Medium,69960,622
14,PhD,Project Manager,Medium,63009,736
9,Bachelor,Data Analyst,Small,39626,272
14,PhD,Software Developer,Small,61923,298
1,Master,Data Scientist,Large,38438,8944
19,Master,Software Developer,Small,58464,363
13,MBA,QA Engineer,Large,76446,7061
13,PhD,Data Analyst,Small,63137,316
4,MBA,Project Manager,Small,72159,99
